CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
4871,CC(=CCC1=C(C2=C(C3=C1OC(C=C3)(C)C)OC=C(C2=O)C4=CC(=C(C=C4)O)O)O)C, ,catechol_A(92), ,53,499,3,62,1,10,17,235
7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N, ,anil_no_alk(40), ,48,852,8,140,2,74,22,501
7573,CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2, , ,anil_NH_alk_B(3),127,741,48,172,14,75,61,402
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N, ,anil_no_alk(40),anil_di_alk_F(14),5,657,2,130,0,68,2,279
9076,CCOC1=CC=C(C=C1)N, ,anil_no_alk(40), ,8,527,1,127,1,67,3,277
13283,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N, , ,anil_di_alk_F(14),10,698,0,113,0,48,0,406
14369,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)Br, ,keto_keto_beta_A(68), ,19,629,12,119,0,55,2,358
14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-], ,het_pyridiniums_A(39), ,261,795,68,162,23,77,109,347
17561,C1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3, , ,keto_keto_beta_B(12),4,655,0,106,0,13,1,387
19273,CC1CC2C3CCC(C3(CC(=O)C2C4(C1=CC(=O)CC4)C)C)C(=O)C, , ,steroid_A(2),0,276,0,44,0,2,0,158
21552,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=C(C=C3)N, ,anil_no_alk(40), ,2,572,0,96,0,10,2,346
43640,COC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,36,500,10,90,1,7,17,291
47508,CC(=O)NC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,75,677,25,123,1,11,25,387
53313,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CN=CC=C4, ,amino_acridine_A(46), ,15,500,0,88,1,7,12,293
53329,COC1=CC=CC=C1NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,37,516,10,92,2,11,19,304
68183,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)N)C4=CC=C(C=C4)N, , ,anil_di_alk_F(14),3,499,1,91,0,7,0,287
70846,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)Cl, ,keto_keto_beta_A(68), ,11,571,8,114,0,23,1,326
71024,C1=CC=C2C(=C1)NC3=CC=CC=C3S2(=O)=O, , ,het_thio_666_A(13),2,495,0,85,0,7,0,291
72628,CC1(NC2=CC=CC3=C2C(=CC=C3)N1)C, ,naphth_amino_B(25), ,7,281,0,41,0,2,6,163
73822,C1C(=O)N(C(=S)S1)C2=CC=CC=C2, ,rhod_sat_A(33), ,0,299,0,46,0,6,0,165
79793,C1C(=O)N(C(=S)S1)CC(=O)O, ,rhod_sat_A(33), ,3,468,0,85,0,7,1,256
82498,CC(C)(C)C1=CC=C(C=C1)OC2=CC=C(C=C2)N, ,anil_no_alk(40), ,64,688,45,136,0,13,8,389
87335,CC1=CC(=C(C=C1)N)C(=O)C2=CC=CC=C2, ,anthranil_one_A(38), ,3,682,0,113,0,14,2,405
95022,C1=CC=C(C=C1)C(=O)C2C(=O)C3=CC=CC=C3C2=O, ,keto_keto_beta_A(68), ,4,796,0,125,0,24,3,472
96308,C1=CC(=CC=C1CSC2=CC=C(C=C2)Cl)N, ,anil_no_alk(40), ,5,628,3,107,0,11,3,369
96784,C1=CC=C(C=C1)SCC2=CC=C(C=C2)N, ,anil_no_alk(40), ,4,276,1,44,0,2,3,159
97864,C1C(N=C(NC1=O)N)C2=CC=CC=C2, , ,het_6_hydropyridone(1),0,283,0,44,0,2,0,160
99466,C1C(=O)N(C(=S)S1)C2=CC(=C(C=C2)Cl)Cl, ,rhod_sat_A(33), ,7,461,1,87,0,7,1,254
99599,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)Cl, ,rhod_sat_A(33), ,6,494,0,83,0,7,0,287
99677,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)N, ,anthranil_one_A(38), ,9,645,0,104,0,11,2,379
114298,CC[N+]1=C(C=CC2=C1C=CC(=C2)OC)SCC.[I-], ,het_pyridiniums_A(39), ,30,635,4,104,0,11,17,378
137753,COC1=CC2=[N+](C3=CC=CC=C3N=C2C=C1)[O-], ,het_pyridiniums_A(39), ,23,302,4,47,0,2,18,176
140917,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)O)O)N, , ,anil_di_alk_F(14),22,512,4,91,0,10,12,301
145758,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCO, ,amino_acridine_A(46), ,64,675,23,129,0,11,24,387
148870,CCCS(=O)(=O)NC1=CC(=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42)OC.CS(=O)(=O)O, ,amino_acridine_A(46), ,81,373,19,57,0,2,13,164
150655,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCCO, ,amino_acridine_A(46), ,84,556,31,112,1,7,36,321
153434,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=C(C=C4)C(=O)O.Cl, ,amino_acridine_A(46), ,12,494,2,88,0,7,7,289
168083,CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)CO, , ,keto_keto_beta_B(12),1,571,0,94,0,10,0,338
204177,CC1=CC(=C(C=C1)C)C2C(=O)C3=CC=CC=C3C2=O, ,keto_keto_beta_A(68), ,2,492,0,88,0,7,2,286
211701,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)O, ,rhod_sat_A(33), ,15,472,2,86,0,7,3,260
220490,CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)[N+](=O)[O-], , ,anil_di_alk_F(14),18,695,1,103,0,18,7,376
220590,CC1=CC(=C(C=C1CC2=CC(=C(C=C2C)N)C)C)N, , ,anil_di_alk_F(14),5,632,0,108,0,11,2,372
221177,C1=CC=C(C=C1)C(=O)C2=C(C=CC3=CC=CC=C32)N, ,anthranil_one_A(38), ,1,277,0,43,0,2,0,155
222612,CC12CC(C(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=CC(=O)OC)C)Br, , ,steroid_A(2),8,279,2,43,0,2,3,161
222942,C1CC1C(=O)C2C(=O)C3=CC=CC=C3C2=O, ,keto_keto_beta_A(68), ,1,276,0,42,0,2,1,155
224524,CC1=C(C=C(C(=C1)O)C(C)C)NC2=C3C=C(C=CC3=NC4=C2C=CC(=C4)Cl)OC, ,amino_acridine_A(46), ,57,593,13,101,0,10,32,357
225046,C1CN=C(N1)CC2=CC=C(C=C2)N.OS(=O)(=O)O, ,anil_no_alk(40), ,6,279,0,43,0,2,4,157
227197,C1CC(=CC2=CC=CO2)C(=O)C1=CC3=CC=CO3, ,ene_one_ene_A(57), ,58,318,3,45,0,2,43,189
227337,CCN(CC)CCN1C2=CC=CC=C2SC3=C1C4=CC=CC=C4C=C3, , ,het_thio_666_A(13),25,711,9,107,0,18,9,387
227345,CN(C)CCCN1C2=CC=CC=C2SC3=C1C4=CC=CC=C4C=C3, , ,het_thio_666_A(13),19,411,3,53,0,10,7,195
229999,C1COCCN1C2=NC(=O)C(=CC3=CC=CO3)S2, ,ene_five_het_B(90), ,2,282,0,44,0,2,2,163
232004,C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)NS(=O)(=O)C3=CC=CC=C3)Cl, , ,sulfonamide_D(2),1,283,0,44,0,2,0,161
233289,C1=CC=NC(=C1)CCC2=CC=C(C=C2)N, ,anil_no_alk(40), ,0,278,0,44,0,2,0,160
233538,C1C(=O)N(C(=S)S1)C2=CC=C(C=C2)C(=O)O, ,rhod_sat_A(33), ,8,408,0,60,0,3,5,244
235240,C1=CC(=C(C=C1C2C(C(=O)C3=CC(=C(C=C3O2)O)O)O)O)O, ,catechol_A(92), ,16,280,0,39,0,2,12,167
235857,CCC(C1=CC=CC=C1)C(CC)C2=CC(=C(C(=C2)O)O)O, ,catechol_A(92), ,14,282,0,43,0,2,10,162
244240,C1CC(=CC2=CC=CO2)C(=O)C(=CC3=CC=CO3)C1, ,ene_one_ene_A(57), ,29,293,10,50,0,2,16,168
244300,C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)N)C(=O)NC3=CC=C(C=C3)N, ,anil_no_alk(40), ,6,570,0,95,0,10,3,342
245581,C1=CC(=CC=C1C=C(C#N)C#N)C=C(C#N)C#N, ,ene_cyano_A(19), ,18,457,2,78,0,9,10,267
245882,C1=CC=C2C(=C1)C=C3C(=N2)C4=CC=CC=C4C3=O, , ,keto_phenone_A(11),24,512,20,97,2,11,5,294
247266,C1=CN=C(N=C1)NN=CC2=CC=C(C=C2)N(CCCl)CCCl, ,hzone_anil_di_alk(35), ,6,276,0,43,0,2,0,158
247433,C1(=C(C2(C(=C(C2(C1=O)Cl)Cl)Cl)Cl)O)Cl, ,ene_one_hal(17), ,1,277,0,45,0,2,1,158
248114,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)NN=CC3=CC=C(C=C3)N(C)C, ,hzone_anil_di_alk(35), ,2,278,0,45,0,2,1,159
253821,COC1=CC2=C(C=C1)[N+](=CC=C2)[O-], ,het_pyridiniums_A(39), ,0,290,0,44,0,2,0,162
254722,C1=CC(=CC=C1N)OC(=O)NC2=CC=C(C=C2)O, ,anil_no_alk(40), ,26,586,9,106,0,10,13,344
255084,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=C(C=C4)F, ,naphth_amino_B(25), ,20,513,4,91,0,8,12,300
255085,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=C(C=C4)Cl, ,naphth_amino_B(25), ,15,505,2,88,0,7,11,294
256658,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=C(C=C4)Br, ,naphth_amino_B(25), ,2,271,0,43,0,2,1,155
256661,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CN=CC=C4, ,naphth_amino_B(25), ,26,580,5,103,0,10,17,343
257619,CN1C2=C(N=C1C3=CC=C(C=C3)N(CCCl)CCCl)N(C(=O)N(C2=O)C)C, , ,anil_di_alk_G(9),5,275,1,43,0,2,1,159
257810,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC(=CC=C4)Br, ,naphth_amino_B(25), ,7,492,1,86,0,7,5,289
258295,C1=CC(=CC=C1C2=NC3=C(N2)C(=O)N=CN3)N(CCCl)CCCl, , ,anil_di_alk_G(9),21,293,10,53,0,2,3,157
259941,C1=CC=C2C(=C1)C3=C(C2=CC4=CN=CC=C4)C=C(C=C3)N, , ,styrene_anil_A(1),2,275,0,43,0,2,1,159
260098,C1CCC2(C1)NC3=CC=CC4=C3C(=CC=C4)N2, ,naphth_amino_B(25), ,5,279,0,43,0,2,3,161
260381,C1C(=O)N(C(=S)S1)NC2=CC=CC=C2, ,rhod_sat_A(33), ,11,295,0,45,0,2,9,167
261836,CC1=C(C=CC(=C1)NS(=O)(=O)C2=CC=CC=C2)NS(=O)(=O)C3=CC=CC=C3, , ,sulfonamide_D(2),3,282,0,42,0,2,1,159
261931,CCOC(=O)C1CCCC12NC3=CC=CC4=C3C(=CC=C4)N2, ,naphth_amino_B(25), ,5,276,0,42,0,2,3,159
268501,CC1=CC2=C(C=C1)NCCC2=C(C#N)C#N, ,ene_cyano_A(19), ,10,275,5,48,0,2,5,158
268513,C1=CC=C(C=C1)C=C2C(=O)N=C(S2)N, ,ene_five_het_B(90), ,3,265,0,41,0,2,1,155
268605,CC1=CC(=C(C#N)C#N)C2=CC=CC=C2N1C, ,ene_cyano_A(19), ,7,652,1,110,0,11,5,383
274114,C1COCCN1C(=S)C2=CC=CO2, , ,thio_amide_A(6),0,274,0,43,0,2,0,154
274217,COC1=C(C=C(C=C1)Cl)C=CC=NC2=CC=CC=C2O, , ,imine_phenol_A(3),5,262,0,41,0,2,2,153
274433,C1CN2C=CC=C2C1=NNC(=O)N, ,hzone_pyrrol(64), ,0,265,0,40,0,2,0,156
275191,C1CN2CC(=CCBr)C3CC2C14C5C3=CCC(=O)N5C6=CC(=C(C=C46)O)O, ,catechol_A(92), ,32,276,0,41,0,2,24,162
275253,C1C(=O)N(C(=S)S1)N=CC2=CC=C(S2)Cl, ,rhod_sat_A(33), ,12,270,0,39,0,2,9,162
275255,COC1=CC=CC=C1C=NN2C(=O)CSC2=S, ,rhod_sat_A(33), ,0,266,0,42,0,2,0,155
275262,C1C(=O)N(C(=S)S1)N=CC2=CC3=C(C=C2)OCO3, ,rhod_sat_A(33), ,1,265,0,42,0,2,0,155
275266,C1C(=O)N(C(=S)S1)N=CC2=C(C=C(C=C2)Cl)Cl, ,rhod_sat_A(33), ,1,265,0,41,0,2,0,155
279091,C1=CC2=C3C(=C1)NN=NC3=CC=C2, , ,naphth_amino_D(2),3,275,1,41,0,2,2,157
288814,C1=CC2=C3C(=C1)C=C(C(=O)C3=CC=C2)Br, ,ene_one_hal(17), ,42,573,0,84,2,14,32,356
289100,COC1=C(C=C(C=C1)CCN2C(=O)CSC2=S)OC, ,rhod_sat_A(33), ,24,524,15,105,0,11,4,292
302889,C1C(=O)N(C(=S)S1)C2=CC=CC(=C2)C(=O)O, ,rhod_sat_A(33), ,8,496,2,87,0,7,3,286
310608,COC1=C(C=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O)OC, ,keto_keto_beta_A(68), ,5,632,2,108,0,11,4,373
320930,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O, ,catechol_A(92), ,117,709,44,159,1,70,63,383
324634,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)F, ,rhod_sat_A(33), ,2,497,1,88,1,7,1,281
341820,C1=CC=C(C=C1)C(=C2C(=O)C3=CC=CC=C3C2=O)O, ,ene_five_one_A(55), ,11,793,4,135,0,25,5,454
341980,CN(C)C1C(=O)C2=CC=CC=C2C1=O, ,keto_keto_beta_A(68), ,1,651,0,104,0,13,1,383
350421,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)O, ,keto_keto_beta_A(68), ,11,643,7,111,0,11,3,379
358150,CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C(=N2)C=CC4=CC=CC=C43.Cl, , ,het_6666_A(2),50,365,10,48,0,2,12,162
360308,CCOC(=O)C1=C(NC2=CC=CC=C2S1)C, , ,het_thio_66_one(8),9,641,2,97,0,14,5,346
360404,C1=CC=C(C(=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)S(=O)(=O)O, ,catechol_A(92), ,115,471,6,64,0,5,73,265
376354,C1=CC=C(C=C1)C2=NC3=CC=CC4=C3C(=CC=C4)N2, ,naphth_amino_A(25), ,18,734,4,106,0,13,10,397
379338,COC1=CC=C(C=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2, , ,keto_phenone_A(11),80,766,36,132,0,11,9,377
387753,CC1(CC2(C(C1(C(=N)O2)C#N)(C#N)C#N)C)C, ,cyano_cyano_A(23), ,14,625,2,93,0,10,7,342
387806,C1CCC23C(C1)C(C(CO2)(C(=N)O3)C#N)(C#N)C#N, ,cyano_cyano_A(23), ,26,635,3,96,0,10,19,349
390754,CC1(CC2=C(C(=O)C1)SC3=CC=CC=C3N2)C, , ,het_thio_66_one(8),13,596,0,95,0,14,12,357
392739,CC1=CC=CC2=C(C3=C(C(=CC=C3)C(=O)NCCN(C)C)N=C12)NC.Cl, ,amino_acridine_A(46), ,124,359,19,53,3,4,39,174
421224,C1=CC(=CC=C1OC2=NC=C(C=C2)N)F, , ,anil_OC_no_alk_A(8),5,556,0,90,0,10,4,332
430132,COC1=CC(=CC(=C1OC)OC)NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,38,522,12,100,0,7,10,299
440990,C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC(=C(C=C3)O)O, ,catechol_A(92), ,41,497,1,88,0,7,28,281
458828,COC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)OC)N, , ,anil_di_alk_F(14),5,647,0,104,0,13,2,386
459083,CC1=CC=C(N1C2=CC=C(C=C2)NC(=O)C)C, ,pyrrole_A(118), ,1,627,0,102,0,11,0,373
496641,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCC4C=C(C(=O)C(O4)N5C=C(C(=O)NC5=O)F)F, ,ene_one_hal(17), ,77,363,17,50,3,4,31,171
521440,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C, , ,steroid_A(2),1,494,0,89,0,7,1,285
572632,C1CCC(CC1)NC(=O)NC2=CC=C(C=C2)N, ,anil_no_alk(40), ,6,635,2,108,0,11,3,375
586278,CC1=NC(=C(C(=C1)COC)C#N)SCC(=O)C2=CC(=C(C=C2)O)O, ,catechol_A(92), ,40,812,10,135,0,25,17,480
600567,C1=CC=C(C=C1)C2C(=O)NNC2=O, , ,keto_keto_beta_B(12),2,493,0,86,0,7,1,288
603751,CC1=NN(C(=O)C1C=NC2=CC=CC=C2O)C3=CC=CC=C3, , ,imine_phenol_A(3),11,530,4,87,0,11,5,309
611221,CCOC(=O)C1=C(C(=C(S1)N)C(=O)N)C, ,thiophene_amino_Aa(45), ,8,611,0,106,0,10,4,357
614407,CC1(CC(NC2=CC=CC=C2N1)C3=CC=C(C=C3)OC)C4=CC=C(C=C4)OC, , ,anil_alk_C(1),12,569,8,95,0,10,2,340
616832,C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C(F)(F)F, ,naphth_amino_A(25), ,64,375,2,63,1,4,47,212
618572,CC1=CC=CC2=CC3=C(C4=CC=CC=C4C3=O)N=C12, , ,keto_phenone_A(11),6,494,6,89,0,7,1,285
618630,CC1(CC2=C(C(=O)C1)S(=O)C3=CC=CC=C3N2)C, , ,het_thio_66_one(8),2,552,0,91,0,10,1,331
621197,CCN1C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C31, , ,het_thio_666_A(13),3,494,0,87,0,7,1,285
621516,CC1=C(SC(=C1C(=O)OC)N)CC2=CC=CC=C2, ,thiophene_amino_Aa(45), ,1,634,0,104,0,11,0,377
621951,CC1=C(C=C(C=C1)N2C(=O)C(=C(C)C)C(=O)N2)Cl, ,ene_five_het_D(46), ,16,641,0,97,0,13,13,391
632713,CCOC(=O)CC1(C(=O)C2=CC=CC=C2C1=O)C3=CC(=C(C=C3)OC)OC, ,keto_keto_beta_A(68), ,1,562,0,94,0,10,1,335
646758,CC1=C(SC(=N1)C)C2=CSC(=N2)NCC3=CC=CO3, , ,thiazole_amine_C(3),9,779,6,130,0,25,2,464
648428,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl, , ,het_thio_5_A(8),3,773,1,127,1,27,1,461
653140,C1=CC2=NSN=C2C(=C1)S(=O)(=O)NC3=CC=C(C=C3)C(=O)O, ,diazox_sulfon_A(36), ,3,781,0,127,0,25,2,466
654089,C1C=CC2C1C(NC3=C2C=CC=C3O)C(=O)O, ,anil_alk_ene(51), ,124,782,4,120,1,23,98,479
660206,CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OC)C#N, , ,dhp_keto_A(9),5,756,0,126,0,23,4,444
661072,CCOC(=O)C1=C(SC=C1C2=CC=CS2)NC(=O)CCCC(=O)O, ,thiophene_amino_Ab(40), ,8,793,0,130,0,23,6,474
668461,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC(=CC=C4)Cl, ,naphth_amino_B(25), ,15,503,1,88,0,7,11,291
668465,COC(=O)C1=CC=C(C=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2, ,naphth_amino_B(25), ,17,649,0,109,0,11,8,382
671084,CCN(CC)C(=O)C1=C(C(=C(S1)N)C(=O)OCC)C, ,thiophene_amino_Aa(45), ,2,633,0,108,0,11,0,373
672599,C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC=CC3=NSN=C32, ,diazox_sulfon_A(36), ,1,498,0,88,0,7,1,287
673767,COC1=CC(=C(C=C1)OC)C=C2C(=O)C3=CC=CC=C3S2, ,ene_five_het_F(15), ,31,627,1,103,0,11,26,375
674780,CCOC(=O)C1=C(C(=C(S1)N)C(=O)OC)C, ,thiophene_amino_Aa(45), ,4,628,4,106,0,11,1,371
675434,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C(=O)CN3CCCC3, ,pyrrole_A(118), ,3,572,0,94,0,10,1,341
676190,C1CCN(CC1)C2=NC(=O)C(=CC3=CC=C(C=C3)Cl)S2, ,ene_five_het_B(90), ,3,487,1,85,0,7,0,283
681669,CC1=CC=C(C=C1)N2C(=CC(=C2C)C(=O)CN3CCOCC3)C, ,pyrrole_A(118), ,3,636,2,106,0,11,1,380
686857,COC1=CC=CC=C1NS(=O)(=O)C2=CC=CC3=NSN=C32, ,diazox_sulfon_A(36), ,1,556,0,92,0,10,0,331
686858,C1=CC(=CC(=C1)F)NS(=O)(=O)C2=CC=CC3=NSN=C32, ,diazox_sulfon_A(36), ,1,489,0,84,0,7,0,285
687188,CC(C)C1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCOCC3, ,ene_five_het_B(90), ,5,570,1,96,0,10,1,340
687937,CC1=CC(=O)N=C(N1)SCC(=O)C2=CC(=C(C=C2)O)O, ,catechol_A(92), ,23,516,0,86,0,7,11,295
689386,CN(C)C1=CC=CC(=C1)NC(=O)C2=CC=CC3=CC=CC=C32, , ,anil_di_alk_I(4),7,500,2,87,0,7,2,292
690363,COC1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCCCC3, ,ene_five_het_B(90), ,14,495,6,87,0,7,2,283
691841,CCOC1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCCCC3, ,ene_five_het_B(90), ,7,494,2,87,0,7,0,285
691844,COC1=C(C=C(C=C1)C=C2C(=O)N=C(S2)N3CCCCC3)OC, ,ene_five_het_B(90), ,6,490,5,89,0,7,1,285
691921,CC1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCCCC3, ,ene_five_het_B(90), ,17,495,9,91,0,7,3,286
695469,CC(C)(C)C1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCCC3, ,ene_five_het_B(90), ,9,554,1,93,0,9,4,332
695793,CC1=CC(=C(N1C2=CC=NC=C2)C)C=C3C(=O)NC(=O)N3, , ,ene_rhod_F(8),3,632,0,108,0,11,2,375
696240,C1=CC=C(C=C1)C=C2C(=O)NN(C2=O)C3=CC(=CC=C3)Br, ,ene_five_het_D(46), ,18,498,0,86,0,7,13,291
697376,CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)O)C(=O)O, ,sulfonamide_B(41), ,2,620,0,104,0,11,1,369
700553,C1CCN(CC1)C2=NC(=O)C(=CC3=CC4=CC=CC=C4OC3)S2, ,ene_five_het_B(90), ,7,634,4,105,0,11,4,375
701606,CCC1=CC=C(C=C1)C=C2C(=O)N=C(S2)N3CCCC3, ,ene_five_het_B(90), ,11,629,3,106,0,11,4,368
702101,CC1=CC=C(N1C2=CC=C(C=C2)C(=O)NN)C, ,pyrrole_A(118), ,7,656,0,107,0,17,4,386
702119,COC1=CC(=C(C=C1)OC)C=C2C(=O)N=C(S2)N3CCCCC3, ,ene_five_het_B(90), ,5,497,3,88,0,7,1,289
703413,C1CC2=C(C=C(N2C3=CC=CC=C3C(=O)O)C4=CC=CC=C4)C(=O)C1, ,pyrrole_B(29), ,0,632,0,109,0,11,0,371
704173,CC(=C1C(=O)NN(C1=O)C2=CC(=C(C=C2)F)Cl)C, ,ene_five_het_D(46), ,11,682,1,109,0,14,9,404
704877,CC1CCN(CC1)CC(=O)C2=C(N(C(=C2)C)C3=CC=C(C=C3)OC)C, ,pyrrole_A(118), ,5,623,1,101,0,11,2,374
707447,C1=CC(=CC=C1C2=CC=C(N2CC(=O)O)CCC(=O)O)Cl, , ,pyrrole_C(8),6,776,1,126,0,25,2,460
708059,COC1=CC=CC=C1N2C(=CC=C2C3=CC=CC=C3)CCC(=O)O, ,pyrrole_B(29), ,6,496,2,87,0,7,2,292
709222,CC1=CC=C(C=C1)C(=O)NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)O, ,thiophene_amino_Ab(40), ,27,412,8,64,0,3,6,243
709391,COC1=C(C=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=C(C=C3)O)O, ,ene_five_het_B(90), ,56,594,17,103,0,10,23,350
709400,C1=COC(=C1)C=C2C(=O)N=C(S2)NC3=CC=C(C=C3)O, ,ene_five_het_B(90), ,24,663,6,114,1,11,11,384
711828,CN1C=NC2=C1C=CC(=C2)NCC3=C(C(=CC=C3)OC)OC, , ,"anil_alk_bim(9),anil_alk_A(1)",5,500,1,93,0,7,3,280
713481,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C(=S)N3CCOCC3, ,pyrrole_A(118), ,2,622,0,109,0,11,1,366
713665,C1=CC(=CC=C1N2C(=NN=N2)SCC(=O)C3=CC(=C(C=C3)O)O)F, ,catechol_A(92), ,31,643,7,110,0,11,15,384
714802,CC1=CC(=C(N1C2=CN=CC=C2)C)C=C3C(=O)NC(=O)N3, , ,ene_rhod_F(8),3,655,2,109,0,13,1,387
716427,C1=CC2=NSN=C2C(=C1)S(=O)(=O)NC3=CC=C(C=C3)F, ,diazox_sulfon_A(36), ,1,498,0,91,0,7,0,286
717270,COC1=C(C(=CC(=C1)C=C2C(=O)N=C(S2)C3=CC=CC=C3)Cl)O, ,ene_five_het_B(90), ,35,562,1,97,0,10,21,330
717880,CN1C2=C(C=C(C=C2)N)SC3=CC=CC=C31, , ,het_thio_666_A(13),26,519,1,89,0,7,8,295
718051,CC1=NN(C(=C1)C(F)(F)F)C2=CC=C(C=C2)N, ,anil_no_alk(40), ,1,632,0,106,0,11,1,378
722605,C1COCCN1C2=NC(=O)C(=CC3=CN=CC=C3)S2, ,ene_five_het_B(90), ,3,648,1,112,0,11,1,376
725712,C1CCN(CC1)C2=NC(=O)C(=CC3=CC=NC=C3)S2, ,ene_five_het_B(90), ,3,556,0,93,0,10,1,331
727012,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=C(C(=CC=C4)Cl)Cl, ,naphth_amino_B(25), ,14,501,2,86,0,7,6,291
727026,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=C(C=C(C=C4)Cl)Cl, ,naphth_amino_B(25), ,7,274,0,41,0,2,6,160
727034,CC1=CC=C(C=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2, ,naphth_amino_B(25), ,15,516,5,91,0,7,9,300
727631,CC1=CC(=C(N1C2=CC=C(C=C2)C(=O)OC)C)C(=O)CCl, ,pyrrole_A(118), ,44,660,18,120,1,13,18,385
730427,C1=CC=C2C(=C1)C(=O)C(=CC3=CC=CS3)C2=O, ,ene_five_one_A(55), ,10,659,4,107,0,13,7,388
732502,C1COCCN1C(=S)C2=CC=C(O2)C3=CC(=CC=C3)Cl, , ,thio_amide_A(6),30,765,16,128,0,23,11,451
735993,CN(C)C1=CC=C(C=C1)C2=NC3=C(O2)C=CC(=C3)N, , ,anil_di_alk_G(9),36,481,24,95,0,7,12,262
