CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
7404285,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)C3=CC=CC=C3,anil_di_alk_A(478),   ,   ,5,433,0,70,0,5,4,255
7404291,CSC1=CC=C(C=C1)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,36,467,18,93,0,5,12,261
7404865,CN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)N3CCOCC3)C4CC4,anil_di_alk_A(478),   ,   ,0,357,0,55,0,5,0,210
7404877,CC1=NN=C(N1CC2=CC=CC=C2)SCC(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,2,387,0,64,0,5,0,216
7405539,COC1=CC=CC(=C1)CNC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCC3,anil_di_alk_A(478),   ,   ,9,389,2,67,0,5,5,222
7406737,CN(CC(=O)NC1=CC=C(C=C1)N2CCOCC2)C(=O)CC3=CC=CC=C3,anil_di_alk_A(478),   ,   ,1,394,0,67,0,5,0,222
7406787,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NCCC3=CC=C(C=C3)F,anil_di_alk_A(478),   ,   ,0,435,0,74,0,5,0,253
7406809,CCC1=NN=C(S1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,1,438,0,73,0,5,1,256
7406927,CC1=C(C(=CC=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)C,anil_di_alk_A(478),   ,   ,0,207,0,35,0,2,0,115
7406935,CC1=C(C=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)C,anil_di_alk_A(478),   ,   ,7,486,2,85,0,7,4,287
7408936,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NCC3=CC=CS3,anil_di_alk_A(478),   ,   ,1,386,0,65,0,5,1,218
7409115,CCC1=C(C=C(S1)C(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,3,362,0,61,0,4,1,203
7409168,C1COCCN1C2=CC=C(C=C2)NC(=O)C3=NC=CN=C3,anil_di_alk_A(478),   ,   ,23,504,18,98,0,7,5,286
7409674,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)CC3=CC=CC=C3OC,anil_di_alk_A(478),   ,   ,10,660,2,107,0,14,1,379
7409794,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)C3=COCCO3,anil_di_alk_A(478),   ,   ,1,375,0,61,0,5,0,214
7409805,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)CC3=CC(=CC=C3)OC,anil_di_alk_A(478),   ,   ,5,674,0,107,0,14,4,399
7551202,CC1=C(C=C(C=C1)CC(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,4,432,0,73,0,5,1,251
7551225,CC1=CC(=CC(=C1)OCC(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,2,343,1,66,0,4,0,181
7586605,C1COCCN1C2=CC=C(C=C2)NS(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4,anil_di_alk_A(478),   ,   ,1,358,0,60,0,4,0,200
7603409,CC(C)N1C=NN=C1SCC(=O)NC2=CC=C(C=C2)N3CCCCC3,anil_di_alk_A(478),   ,   ,2,434,1,72,0,5,1,254
7670115,CCC(=O)C1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCCCC3,anil_di_alk_A(478),   ,   ,3,387,1,62,0,5,0,219
7754453,CC1=CC(=CC(=C1)OCC(=O)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,0,389,0,68,0,5,0,216
7837314,C1CCC(CC1)(C#N)NC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCC3,anil_di_alk_A(478),   ,   ,6,441,1,72,0,5,5,257
7840697,CC1=CC=C(C=C1)OCCC(=O)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,3,443,3,78,0,5,0,257
7841916,CC1=CC=CC=C1OCCC(=O)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,3,482,1,89,0,7,0,278
7858185,CC1=CC=C(C=C1)C(=O)NC(C(C)C)C(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,0,332,0,61,0,4,0,179
7876459,CC(C)(C)C1=NN=C(N1N)SCC(=O)NC2=CC=C(C=C2)N3CCCCC3,anil_di_alk_A(478),   ,   ,3,388,1,64,0,5,1,219
7892717,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])N4CCOCC4,anil_di_alk_A(478),   ,   ,34,427,26,104,0,7,8,238
7922296,CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,12,445,1,73,0,5,7,258
7922360,CC(C)C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,3,483,0,84,0,7,2,282
7922528,COC1=CC=C(C=C1)CCNC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,2,433,0,71,0,5,0,253
7922646,CCC1=CC(=CC=C1)OCC(=O)NC2=C(C=C(C(=C2)OCC)N3CCOCC3)OCC,anil_di_alk_A(478),   ,   ,7,387,3,65,1,6,1,214
7938968,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,1,482,0,85,0,7,0,283
8015626,COCC(=O)NC1=CC(=C(C=C1)N2CCCC2)S(=O)(=O)NC3=CC=CC=C3OC,anil_di_alk_A(478),   ,   ,3,373,2,63,0,5,0,213
8037744,CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC4=C(C=C3)C(=C(C(=O)O4)C)C,anil_di_alk_A(478),   ,   ,3,488,2,87,0,7,0,281
8056568,CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC4=C(C=C3)C(=CC(=O)O4)C,anil_di_alk_A(478),   ,   ,3,489,1,88,0,7,1,282
8083550,CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)N4CCN(CC4)C,anil_di_alk_A(478),   ,   ,1,505,0,88,0,7,0,293
8088364,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)CN3CCSC3=O,anil_di_alk_A(478),   ,   ,0,380,0,63,0,5,0,213
8140870,CCN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)N3CCOCC3)C4CC4,anil_di_alk_A(478),   ,   ,1,384,0,62,0,5,0,219
8146215,CC1=C(C=CC(=C1)N2CCCCC2)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,3,638,0,103,0,13,3,378
8321164,CN(CC(=O)NC1=CC=C(C=C1)N2CCOCC2)C(=O)CSC3=CC=CC=C3F,anil_di_alk_A(478),   ,   ,0,385,0,64,0,5,0,217
8331535,C1CCCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)C3=CC=CO3,anil_di_alk_A(478),   ,   ,5,388,2,64,0,5,2,216
8331544,C1CCCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)C3=CC=C(O3)Br,anil_di_alk_A(478), , ,4,346,1,65,0,4,1,183
8342656,CC(=O)C1=CNC(=C1)C(=O)NC2=CC=C(C=C2)N3CCCCCC3,anil_di_alk_A(478),   ,   ,3,386,1,66,0,5,0,214
8402127,C1CC1NC2=NN=C(S2)SCC(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,0,388,0,65,0,5,0,219
8450269,CN(CC(=O)NC1=CC=C(C=C1)N2CCOCC2)C(=O)CSC3=CC=C(C=C3)F,anil_di_alk_A(478),   ,   ,1,432,0,73,0,5,0,251
8460105,CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC=CN3C2=NS(=O)(=O)CC3,anil_di_alk_A(478),   ,   ,9,396,1,64,0,5,5,223
8873472,C1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=C(C=CC(=C3)F)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,5,438,0,73,0,5,0,256
8901063,C1CCN(CC1)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC(=C3)C(=O)O,anil_di_alk_A(478),   ,   ,5,368,0,61,0,4,1,205
9078610,C1CCN(C1)C2=CC=C(C=C2)NC(=O)COC3=CC=C(C=C3)C#N,anil_di_alk_A(478),   ,   ,2,388,0,65,0,5,1,221
9100764,C1COCCN1C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)N=CS4,anil_di_alk_A(478),   ,   ,4,363,0,62,0,4,3,205
9101213,CC1=CC(=C(C=C1)C)OCCC(=O)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,1,437,0,72,0,5,0,255
9102753,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NCCOC3=CC=CC=C3,anil_di_alk_A(478),   ,   ,13,402,5,71,0,5,6,224
9105468,CC1=CC(=C(C=C1)C)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,1,437,1,72,0,5,0,255
9111282,C1CCC(CC1)(C#N)NC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,5,429,0,70,0,5,5,253
9113502,CCCOC1=CC=C(C=C1)C(=O)CCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C,anil_di_alk_A(478),   ,   ,3,390,0,65,0,5,0,219
9116682,COC1=CC(=C(C=C1)OC)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,anil_di_alk_A(478),   ,   ,12,392,5,67,0,5,6,220
9116954,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)C,anil_di_alk_A(478),   ,   ,15,351,10,70,0,4,6,186
9118762,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)OC4=CC=CC=C4,anil_di_alk_A(478),   ,   ,17,497,2,88,1,7,11,293
9141245,C1COCCN1C2=CC=C(C=C2)NC(=O)COC(=O)COC3=CC=C(C=C3)C#N,anil_di_alk_A(478),   ,   ,1,427,0,68,0,5,0,252
9141982,CCC1=NOC(=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)[N+](=O)[O-])C,anil_di_alk_A(478),   ,   ,0,207,0,35,0,2,0,114
9155427,CC1=C(C=CC(=C1)NC(=O)CN2C(=O)C3(CCCCC3)NC2=O)N4CCCC4,anil_di_alk_A(478),   ,   ,1,332,0,61,0,4,0,179
9157065,CC1=C(C=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC)N3CCCC3,anil_di_alk_A(478),   ,   ,10,497,0,89,0,7,8,287
9157143,COC1=C(C=C(C=C1)C(=O)CCC(=O)NC2=CC=C(C=C2)N3CCCCC3)OC,anil_di_alk_A(478),   ,   ,5,498,0,90,0,7,1,288
9261875,C1CC(=O)N(C1)C2=C(C=CC(=C2)Cl)C(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,0,389,0,67,0,5,0,219
9263144,CCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,0,384,0,63,0,5,0,216
9268142,CC1=C(C(=NN1CC(=O)NC2=CC=C(C=C2)N3CCOCC3)C)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,1,364,0,61,0,4,0,205
9279012,CC(C)C(C(=O)NC1=CC=C(C=C1)N2CCCCCC2)NC(=O)C3=CC=CO3,anil_di_alk_A(478),   ,   ,0,208,0,37,0,2,0,115
9324912,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC=C(C=C2)N3CCCCCC3,anil_di_alk_A(478),   ,   ,1,213,0,38,0,2,1,118
9327132,CCN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)N4CCCC4=O,anil_di_alk_A(478),   ,   ,4,496,0,89,2,11,4,288
9328637,CCN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)N4CCCC4=O,anil_di_alk_A(478),   ,   ,5,491,3,89,2,11,2,286
9329152,C1COCCN1C2=CC=C(C=C2)NC(=O)CN3CCSC3=O,anil_di_alk_A(478),   ,   ,0,344,0,65,0,4,0,182
9329256,C1CCCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CN3,anil_di_alk_A(478),   ,   ,26,413,14,78,0,5,4,223
9409367,CC1=CC=C(C=C1)OCC(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,0,433,0,74,0,5,0,253
9409459,CC1=CC=CC(=C1)C(=O)NCC(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,0,488,0,90,0,7,0,281
9409506,CC1=CC=C(S1)C(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,1,441,0,75,0,5,1,257
9409641,CC1=CC(=C(C(=C1)C)OCC(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,0,488,0,88,0,7,0,282
9462373,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC4=CC=CC=C4C=C3OC)C,anil_di_alk_A(478),   ,   ,25,403,8,68,0,5,14,228
9509462,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)CCC(=O)C3=CC(=C(C=C3)OC)OC,anil_di_alk_A(478),   ,   ,0,386,0,64,0,5,0,219
9533729,CC1=CC=CC=C1CN2CCC3=C2C=CC(=C3)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,4,485,1,87,0,7,1,280
9534296,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C(=C3)Cl)OCCO4,anil_di_alk_A(478),   ,   ,4,341,2,64,0,4,1,180
9549411,C1CCCN(CC1)C2=CC=C(C=C2)NC(=O)CNCCC3=CCCCC3.C(=O)(C(=O)O)O,anil_di_alk_A(478),   ,   ,45,709,5,117,0,14,26,417
9550071,CC1CCN(CC1)C2=CC=C(C=C2)N3C(=NC4=C(C3=O)C=NN4C5=CC=CC=C5Cl)C,anil_di_alk_A(478),   ,   ,10,690,3,113,0,14,3,406
